prompt_len,code_len,ast_nodes,avg_complexity,mean_logprob,confidence,failed
36,268,81,5.0,-0.11039556001596726,0.8954798492069915,0
43,1307,0,0.0,-0.20277747780055838,0.8164599016662168,1
75,113,30,2.0,-0.1348817714045286,0.8738192159997559,0
44,394,9,1.0,-0.3815391892173022,0.6828096267589212,0
178,1349,0,0.0,-0.22612188404848763,0.7976208784789895,1
143,572,41,3.0,-0.34925156134023394,0.7052157029465752,0
180,411,24,2.0,-0.2774517424723456,0.7577121290347337,0
60,2091,0,0.0,-0.07945391687044906,0.9236205823148466,1
92,1997,0,0.0,-0.09860476263451155,0.9061007621387996,1
81,740,0,0.0,-0.3255218284131432,0.7221504166964262,1
46,3592,0,0.0,-0.12361874426318963,0.8837166987252822,1
541,1326,0,0.0,-0.4574830272920076,0.6328745705312063,1
220,747,0,0.0,-0.2273382207089417,0.7966512927542231,1
129,1612,0,0.0,-0.19753041982100406,0.8207551730225201,1
58,253,0,0.0,-0.09771877758501447,0.9069039096031783,1
58,1588,0,0.0,-0.04561897679771731,0.9554059246721347,1
431,2094,0,0.0,-0.10566780468819988,0.8997234823602583,1
480,1970,0,0.0,-0.1294514094640599,0.878577277919884,1
104,279,0,0.0,-0.27620628031715155,0.7586564187324557,1
107,1727,0,0.0,-0.14846351335757135,0.8620314592303204,1
107,114,27,1.0,-0.09318434565150147,0.911025541218423,0
107,2811,0,0.0,-0.19572262976626773,0.8222402680272197,1
49,1219,0,0.0,-0.19469861609773517,0.823082684549901,1
42,149,29,1.0,-0.11947963473699967,0.8873820794044625,0
117,3529,0,0.0,-0.10012148036271468,0.9047275047345078,1
32,209,22,2.0,-0.47774819296941584,0.620178342588768,0
42,142,5,1.0,-0.5061007660757847,0.6028416224585572,0
56,496,15,1.0,-0.1415723974409229,0.8679923328864523,0
25,1753,0,0.0,-0.14724829198325104,0.8630796550509017,1
204,1090,0,0.0,-0.3019748263174792,0.7393566769855194,1
45,819,0,0.0,-0.31687849300592624,0.7284192577831856,1
48,1072,0,0.0,-0.4789302404409813,0.6194456954441504,1
181,119,14,1.0,-0.19514799263898958,0.8227128935938649,0
278,149,45,4.0,-0.085706177504341,0.9178638806597661,0
121,366,0,0.0,-0.18539526319276253,0.8307758438337729,1
206,1246,0,0.0,-0.5121606698929587,0.5991995067903952,1
159,627,0,0.0,-0.2611034899673455,0.7702012073926401,1
109,760,0,0.0,-0.22022712715858153,0.8023365448462887,1
107,970,0,0.0,-0.24999924740253032,0.7788013691951241,1
317,1070,0,0.0,-0.2687744305444212,0.7643156424682294,1
93,886,53,3.0,-0.36230961095018144,0.69606682456527,0
97,1164,0,0.0,-0.35194488475206864,0.7033188845028222,1
106,406,80,4.0,-0.17840406112504179,0.8366043159042036,0
114,1068,0,0.0,-0.20276336283562468,0.8164714260504315,1
116,179,0,0.0,-0.5716832226848372,0.5645743341372118,1
93,281,10,1.0,-0.3537541803851473,0.7020475231974805,0
516,1585,0,0.0,-0.24347548310984288,0.7838986945548715,1
119,335,0,0.0,-0.3499373475162743,0.7047322415608831,1
370,555,0,0.0,-0.26979446751210356,0.7635364097485885,1
99,635,0,0.0,-0.2881606150309811,0.7496411789280281,1
40,781,0,0.0,-0.38947422697862955,0.6774129463349894,1
40,424,0,0.0,-0.37086673487046484,0.6901359064817684,1
60,1487,0,0.0,-0.22259568976531077,0.8004384093219585,1
65,977,0,0.0,-0.22456585689482414,0.7988629643332764,1
50,1144,0,0.0,-0.3206926959070028,0.7256462107807993,1
49,3637,0,0.0,-0.08813722485822438,0.9156352201886471,1
43,1080,0,0.0,-0.37248529662718594,0.6890197823981388,1
